9
15
9
3
2,2
2,12
2,22
12,2
12,12
12,22
22,2
22,12
22,22
0,3,2
1,3,2
3,4,2
3,6,1
5,8,1
5,7,1
1,5,2
2,5,1
4,5,1
7,8,2
4,7,1
6,7,1
1,2,1
1,4,2
4,6,2
0,0,4
0,1,4
0,2,4
0,3,4
0,4,4
0,5,4
0,6,2
0,7,2
0,8,2
0,9,2
0,10,4
0,11,4
0,12,4
0,13,4
0,14,4
0,15,4
0,16,1
0,17,1
0,18,1
0,19,1
0,20,3
0,21,3
0,22,3
0,23,3
0,24,3
0,25,1
0,26,1
0,27,1
0,28,4
0,29,4
0,30,4
1,0,4
1,1,4
1,2,4
1,3,4
1,4,4
1,5,4
1,6,2
1,7,2
1,8,2
1,9,2
1,10,4
1,11,4
1,12,4
1,13,4
1,14,4
1,15,4
1,16,1
1,17,1
1,18,1
1,19,1
1,20,3
1,21,3
1,22,3
1,23,3
1,24,3
1,25,1
1,26,1
1,27,1
1,28,4
1,29,4
1,30,4
2,0,4
2,1,4
2,2,4
2,3,4
2,4,4
2,5,4
2,6,4
2,7,2
2,8,2
2,9,4
2,10,4
2,11,4
2,12,4
2,13,4
2,14,4
2,15,4
2,16,4
2,17,1
2,18,1
2,19,3
2,20,3
2,21,3
2,22,3
2,23,3
2,24,3
2,25,3
2,26,1
2,27,1
2,28,1
2,29,4
2,30,4
3,0,4
3,1,4
3,2,4
3,3,4
3,4,4
3,5,4
3,6,4
3,7,4
3,8,4
3,9,4
3,10,4
3,11,4
3,12,4
3,13,4
3,14,4
3,15,4
3,16,4
3,17,2
3,18,2
3,19,3
3,20,3
3,21,3
3,22,3
3,23,3
3,24,3
3,25,3
3,26,1
3,27,1
3,28,1
3,29,1
3,30,1
4,0,4
4,1,4
4,2,4
4,3,4
4,4,4
4,5,4
4,6,4
4,7,4
4,8,4
4,9,4
4,10,4
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,2
4,17,2
4,18,2
4,19,2
4,20,3
4,21,3
4,22,3
4,23,3
4,24,3
4,25,2
4,26,2
