3
3
7
2
2,22
17,7
17,22
1,2,4
0,2,4
0,1,3
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,1
0,6,1
0,7,1
0,8,1
0,9,1
0,10,1
0,11,2
0,12,2
0,13,2
0,14,2
0,15,4
0,16,4
0,17,4
0,18,4
0,19,4
0,20,4
0,21,4
0,22,4
0,23,4
0,24,4
0,25,2
0,26,2
0,27,2
0,28,2
0,29,2
0,30,2
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,1
1,6,1
1,7,1
1,8,1
1,9,1
1,10,1
1,11,2
1,12,2
1,13,2
1,14,2
1,15,4
1,16,4
1,17,4
1,18,4
1,19,4
1,20,4
1,21,4
1,22,4
1,23,4
1,24,4
1,25,2
1,26,2
1,27,2
1,28,2
1,29,2
1,30,2
2,0,4
2,1,4
2,2,4
2,3,1
2,4,1
2,5,2
2,6,2
2,7,1
2,8,1
2,9,1
2,10,1
2,11,2
2,12,2
2,13,2
2,14,2
2,15,4
2,16,4
2,17,4
2,18,4
2,19,4
2,20,4
2,21,4
2,22,4
2,23,4
2,24,4
2,25,2
2,26,2
2,27,2
2,28,2
2,29,4
2,30,4
3,0,4
3,1,4
3,2,4
3,3,4
3,4,2
3,5,2
3,6,2
3,7,2
3,8,1
3,9,1
3,10,3
3,11,3
3,12,2
3,13,2
3,14,4
3,15,4
3,16,4
3,17,4
3,18,4
3,19,4
3,20,4
3,21,4
3,22,4
3,23,4
3,24,4
3,25,2
3,26,2
3,27,2
3,28,4
3,29,4
3,30,4
4,0,4
4,1,4
4,2,4
4,3,4
4,4,2
4,5,2
4,6,2
4,7,2
4,8,3
4,9,3
4,10,3
4,11,3
4,12,3
4,13,3
4,14,4
4,15,4
4,16,4
4,17,4
4,18,4
4,19,4
4,20,4
4,21,4
4,22,4
4,23,4
4,24,4
4,25,2
4,26,2
4,27,2
4,28,4
4,29,4
4,30,4
5,0,4
5,1,4
5,2,4
5,3,2
5,4,2
5,5,2
5,6,2
5,7,3
5,8,3
5,9,3
5,10,3
5,11,3
5,12,3
5,13,3
5,14,3
5,15,4
5,16,4
5,17,2
5,18,2
5,19,4
5,20,4
5,21,4
5,22,4
5,23,4
5,24,4
5,25,4
5,26,2
5,27,2
5,28,4
5,29,4
5,30,4
6,0,4
6,1,4
6,2,2
6,3,2
6,4,2
6,5,2
6,6,3
6,7,3
6,8,3
6,9,3
6,10,2
6,11,2
6,12,3
6,13,3
6,14,3
6,15,3
6,16,2
6,17,2
6,18,2
6,19,2
6,20,2
6,21,4
6,22,4
6,23,4
6,24,4
6,25,4
6,26,2
6,27,2
6,28,4
6,29,4
6,30,4
7,0,1
7,1,1
7,2,2
7,3,2
7,4,2
7,5,2
7,6,3
7,7,3
7,8,3
7,9,2
7,10,2
7,11,2
7,12,2
7,13,3
7,14,3
7,15,3
7,16,2
7,17,2
7,18,2
7,19,2
7,20,2
7,21,2
7,22,4
7,23,4
7,24,4
7,25,4
7,26,2
7,27,2
7,28,4
7,29,4
7,30,4
8,0,1
8,1,1
8,2,1
8,3,2
8,4,2
8,5,3
8,6,3
8,7,3
8,8,2
8,9,2
8,10,2
8,11,2
8,12,2
8,13,3
8,14,3
8,15,3
8,16,3
8,17,2
8,18,2
8,19,2
8,20,2
8,21,2
8,22,4
8,23,4
8,24,4
8,25,4
8,26,2
8,27,2
8,28,2
8,29,4
8,30,4
9,0,1
9,1,1
9,2,1
9,3,1
9,4,1
9,5,3
9,6,3
9,7,3
9,8,2
9,9,2
9,10,2
9,11,2
9,12,3
9,13,3
9,14,3
9,15,3
9,16,3
9,17,2
9,18,2
9,19,2
9,20,2
9,21,2
9,22,4
9,23,4
9,24,4
9,25,4
9,26,2
9,27,2
9,28,2
9,29,2
9,30,2
10,0,1
10,1,1
10,2,1
10,3,1
10,4,1
10,5,1
10,6,3
10,7,3
10,8,3
10,9,2
10,10,2
10,11,3
10,12,3
10,13,3
10,14,3
10,15,3
10,16,1
10,17,1
10,18,2
10,19,2
10,20,2
10,21,2
10,22,4
10,23,4
10,24,4
10,25,4
10,26,4
10,27,2
10,28,2
10,29,2
10,30,2
11,0,3
11,1,3
11,2,1
11,3,1
11,4,1
11,5,1
11,6,3
11,7,3
11,8,3
11,9,3
11,10,3
11,11,3
11,12,3
11,13,3
11,14,3
11,15,1
11,16,1
11,17,1
11,18,1
11,19,2
11,20,2
11,21,4
11,22,4
11,23,4
11,24,4
11,25,4
11,26,4
11,27,1
11,28,1
11,29,2
11,30,2
12,0,3
12,1,3
12,2,3
12,3,1
12,4,1
12,5,2
12,6,2
12,7,3
12,8,3
12,9,3
12,10,3
12,11,3
12,12,3
12,13,2
12,14,2
12,15,1
12,16,1
12,17,1
12,18,1
12,19,1
12,20,4
12,21,4
12,22,4
12,23,4
12,24,4
12,25,4
12,26,1
12,27,1
12,28,1
12,29,1
12,30,1
13,0,3
13,1,3
13,2,3
13,3,2
13,4,2
13,5,2
13,6,2
13,7,2
13,8,2
13,9,2
13,10,2
13,11,2
13,12,2
13,13,2
13,14,2
13,15,2
13,16,1
13,17,1
13,18,1
13,19,1
13,20,4
13,21,4
13,22,4
13,23,4
13,24,4
13,25,4
13,26,1
13,27,1
13,28,1
13,29,1
13,30,1
14,0,3
14,1,3
14,2,2
14,3,2
14,4,2
14,5,2
14,6,2
14,7,2
14,8,2
14,9,2
14,10,2
14,11,2
14,12,2
14,13,2
14,14,2
14,15,2
14,16,2
14,17,1
14,18,1
14,19,2
14,20,2
14,21,4
14,22,4
14,23,4
14,24,4
14,25,2
14,26,2
14,27,1
14,28,1
14,29,4
14,30,4
15,0,2
15,1,2
15,2,2
15,3,2
15,4,2
15,5,3
15,6,3
15,7,3
15,8,3
15,9,3
15,10,2
15,11,2
15,12,4
15,13,4
15,14,2
15,15,2
15,16,2
15,17,2
15,18,2
15,19,2
15,20,2
15,21,2
15,22,2
15,23,2
15,24,2
15,25,2
15,26,2
15,27,2
15,28,4
15,29,4
15,30,4
16,0,2
16,1,2
16,2,2
16,3,2
16,4,3
16,5,3
16,6,3
16,7,3
16,8,3
16,9,3
16,10,3
16,11,4
16,12,4
16,13,4
16,14,4
16,15,2
16,16,2
16,17,2
16,18,2
16,19,2
16,20,2
16,21,2
16,22,2
16,23,2
16,24,2
16,25,2
16,26,2
16,27,2
16,28,4
16,29,4
16,30,4
17,0,4
17,1,4
17,2,4
17,3,4
17,4,3
17,5,3
17,6,3
17,7,3
17,8,3
17,9,3
17,10,3
17,11,4
17,12,4
17,13,4
17,14,4
17,15,3
17,16,3
17,17,3
17,18,2
17,19,2
17,20,2
17,21,2
17,22,2
17,23,2
17,24,2
17,25,2
17,26,2
17,27,2
17,28,4
17,29,4
17,30,4
18,0,4
18,1,4
18,2,4
18,3,4
18,4,4
18,5,3
18,6,3
18,7,3
18,8,3
18,9,3
18,10,4
18,11,4
18,12,4
18,13,4
18,14,3
18,15,3
18,16,3
18,17,3
18,18,3
18,19,2
18,20,2
18,21,2
18,22,2
18,23,2
18,24,2
18,25,2
18,26,2
18,27,4
18,28,4
18,29,4
18,30,4
19,0,4
19,1,4
19,2,4
19,3,4
19,4,4
19,5,3
19,6,3
19,7,3
19,8,3
19,9,3
19,10,4
19,11,4
19,12,4
19,13,4
19,14,3
19,15,3
19,16,3
19,17,3
19,18,3
19,19,3
19,20,2
19,21,2
19,22,2
19,23,2
19,24,2
19,25,1
19,26,1
19,27,4
19,28,4
19,29,4
19,30,4
20,0,2
20,1,2
20,2,4
20,3,4
20,4,3
20,5,3
20,6,3
20,7,3
20,8,3
20,9,3
20,10,3
20,11,4
20,12,4
20,13,4
20,14,4
20,15,3
20,16,3
20,17,3
20,18,3
20,19,3
20,20,1
20,21,1
20,22,2
20,23,2
20,24,1
20,25,1
20,26,1
20,27,1
20,28,4
20,29,4
20,30,4
21,0,2
21,1,2
21,2,2
21,3,2
21,4,3
21,5,3
21,6,3
21,7,3
21,8,3
21,9,3
21,10,3
21,11,4
21,12,4
21,13,4
21,14,4
21,15,2
21,16,2
21,17,3
21,18,3
21,19,1
21,20,1
21,21,1
21,22,1
21,23,1
21,24,1
21,25,1
21,26,1
21,27,1
21,28,2
21,29,2
21,30,2
22,0,2
22,1,2
22,2,2
22,3,2
22,4,2
22,5,3
22,6,3
22,7,3
22,8,3
22,9,3
22,10,2
22,11,2
22,12,4
22,13,4
22,14,2
22,15,2
22,16,2
22,17,2
22,18,2
22,19,1
22,20,1
22,21,1
22,22,1
22,23,1
22,24,1
22,25,1
22,26,1
22,27,2
22,28,2
22,29,2
22,30,2
23,0,2
23,1,2
23,2,2
23,3,2
23,4,2
23,5,3
23,6,3
23,7,3
23,8,3
23,9,2
23,10,2
23,11,2
23,12,2
23,13,2
23,14,2
23,15,2
23,16,2
23,17,2
23,18,2
23,19,2
23,20,1
23,21,1
23,22,2
23,23,2
23,24,1
23,25,1
23,26,1
23,27,2
23,28,2
23,29,2
23,30,2
24,0,4
24,1,4
24,2,2
24,3,2
24,4,4
24,5,4
24,6,3
24,7,3
24,8,2
24,9,2
24,10,2
24,11,2
24,12,2
24,13,2
24,14,2
24,15,2
24,16,2
24,17,2
24,18,2
24,19,2
24,20,2
24,21,2
24,22,2
24,23,2
24,24,2
24,25,1
24,26,1
24,27,1
24,28,2
24,29,2
24,30,2
25,0,4
25,1,4
25,2,4
25,3,4
25,4,4
25,5,4
25,6,4
25,7,2
25,8,2
25,9,2
25,10,2
25,11,3
25,12,3
25,13,3
25,14,2
25,15,2
25,16,4
25,17,4
25,18,2
25,19,2
25,20,2
25,21,2
25,22,2
25,23,2
25,24,2
25,25,1
25,26,1
25,27,1
25,28,1
25,29,1
25,30,1
26,0,4
26,1,4
26,2,4
26,3,4
26,4,4
26,5,4
26,6,4
26,7,2
26,8,2
26,9,2
26,10,3
26,11,3
26,12,3
26,13,3
26,14,3
26,15,4
26,16,4
26,17,4
26,18,4
26,19,2
26,20,2
26,21,2
26,22,2
26,23,2
26,24,2
26,25,2
26,26,1
26,27,1
26,28,1
26,29,1
26,30,1
27,0,4
27,1,4
27,2,4
27,3,4
27,4,4
27,5,4
27,6,2
27,7,2
27,8,2
27,9,2
27,10,3
27,11,3
27,12,3
27,13,3
27,14,3
27,15,4
27,16,4
27,17,4
27,18,4
27,19,1
27,20,1
27,21,2
27,22,2
27,23,2
27,24,2
27,25,2
27,26,2
27,27,2
27,28,2
27,29,2
27,30,2
28,0,4
28,1,4
28,2,4
28,3,4
28,4,1
28,5,1
28,6,2
28,7,2
28,8,2
28,9,2
28,10,2
28,11,3
28,12,3
28,13,3
28,14,3
28,15,3
28,16,4
28,17,4
28,18,1
28,19,1
28,20,1
28,21,1
28,22,2
28,23,2
28,24,2
28,25,2
28,26,2
28,27,2
28,28,2
28,29,2
28,30,2
29,0,1
29,1,1
29,2,1
29,3,1
29,4,1
29,5,1
29,6,1
29,7,2
29,8,2
29,9,2
29,10,2
29,11,2
29,12,3
29,13,3
29,14,3
29,15,3
29,16,4
29,17,4
29,18,1
29,19,1
29,20,1
29,21,1
29,22,1
29,23,1
29,24,1
29,25,1
29,26,1
29,27,1
29,28,1
29,29,1
29,30,1
30,0,1
30,1,1
30,2,1
30,3,1
30,4,1
30,5,1
30,6,1
30,7,2
30,8,2
30,9,2
30,10,2
30,11,2
30,12,3
30,13,3
30,14,3
30,15,3
30,16,4
30,17,4
30,18,1
30,19,1
30,20,1
30,21,1
30,22,1
30,23,1
30,24,1
30,25,1
30,26,1
30,27,1
30,28,1
30,29,1
30,30,1
