6
8
7
3
2,2
12,2
12,12
27,2
27,12
27,27
3,4,2
1,3,4
2,4,3
4,5,1
1,2,1
2,5,1
0,2,2
0,1,2
0,0,1
0,1,1
0,2,1
0,3,1
0,4,1
0,5,2
0,6,2
0,7,2
0,8,3
0,9,3
0,10,3
0,11,3
0,12,3
0,13,4
0,14,4
0,15,4
0,16,3
0,17,3
0,18,1
0,19,1
0,20,1
0,21,1
0,22,1
0,23,1
0,24,1
0,25,3
0,26,3
0,27,3
0,28,4
0,29,4
0,30,4
1,0,1
1,1,1
1,2,1
1,3,1
1,4,1
1,5,2
1,6,2
1,7,2
1,8,3
1,9,3
1,10,3
1,11,3
1,12,3
1,13,4
1,14,4
1,15,4
1,16,3
1,17,3
1,18,1
1,19,1
1,20,1
1,21,1
1,22,1
1,23,1
1,24,1
1,25,3
1,26,3
1,27,3
1,28,4
1,29,4
1,30,4
2,0,1
2,1,1
2,2,1
2,3,1
2,4,1
2,5,2
2,6,2
2,7,3
2,8,3
2,9,3
2,10,3
2,11,3
2,12,4
2,13,4
2,14,4
2,15,4
2,16,3
2,17,3
2,18,3
2,19,1
2,20,1
2,21,1
2,22,1
2,23,1
2,24,1
2,25,3
2,26,3
2,27,4
2,28,4
2,29,4
2,30,4
3,0,1
3,1,1
3,2,1
3,3,1
3,4,1
3,5,2
3,6,2
3,7,3
3,8,3
3,9,3
3,10,3
3,11,3
3,12,4
3,13,4
3,14,4
3,15,4
3,16,3
3,17,3
3,18,3
3,19,1
3,20,1
3,21,1
3,22,1
3,23,1
3,24,3
3,25,3
3,26,3
3,27,4
3,28,4
3,29,4
3,30,4
4,0,1
4,1,1
4,2,1
4,3,1
4,4,1
4,5,2
4,6,2
4,7,2
4,8,3
4,9,3
4,10,3
4,11,4
4,12,4
4,13,4
4,14,4
4,15,4
4,16,3
4,17,3
4,18,3
4,19,3
4,20,1
4,21,1
4,22,3
4,23,3
4,24,3
4,25,3
4,26,3
4,27,3
4,28,4
4,29,4
4,30,4
5,0,1
5,1,1
5,2,1
5,3,1
5,4,2
5,5,2
5,6,2
5,7,2
5,8,1
5,9,1
5,10,1
5,11,4
5,12,4
5,13,4
5,14,4
5,15,4
5,16,3
5,17,3
5,18,3
5,19,3
5,20,3
5,21,3
5,22,3
5,23,3
5,24,3
5,25,3
5,26,3
5,27,3
5,28,3
5,29,3
5,30,3
6,0,2
6,1,2
6,2,2
6,3,2
6,4,2
6,5,2
6,6,2
6,7,1
6,8,1
6,9,1
6,10,1
6,11,1
6,12,4
6,13,4
6,14,4
6,15,4
6,16,3
6,17,3
6,18,3
6,19,3
6,20,3
6,21,3
6,22,3
6,23,3
6,24,2
6,25,2
6,26,3
6,27,3
6,28,3
6,29,3
6,30,3
7,0,2
7,1,2
7,2,2
7,3,2
7,4,2
7,5,2
7,6,1
7,7,1
7,8,1
7,9,1
7,10,1
7,11,1
7,12,4
7,13,4
7,14,4
7,15,4
7,16,4
7,17,3
7,18,3
7,19,1
7,20,1
7,21,3
7,22,3
7,23,2
7,24,2
7,25,2
7,26,2
7,27,3
7,28,3
7,29,1
7,30,1
8,0,4
8,1,4
8,2,4
8,3,4
8,4,4
8,5,4
8,6,1
8,7,1
8,8,1
8,9,1
8,10,1
8,11,4
8,12,4
8,13,4
8,14,4
8,15,4
8,16,4
8,17,1
8,18,1
8,19,1
8,20,1
8,21,1
8,22,2
8,23,2
8,24,2
8,25,2
8,26,2
8,27,2
8,28,1
8,29,1
8,30,1
9,0,4
9,1,4
9,2,4
9,3,4
9,4,4
9,5,4
9,6,4
9,7,1
9,8,1
9,9,1
9,10,4
9,11,4
9,12,4
9,13,4
9,14,4
9,15,4
9,16,1
9,17,1
9,18,1
9,19,1
9,20,1
9,21,1
9,22,2
9,23,2
9,24,2
9,25,2
9,26,2
9,27,2
9,28,1
9,29,1
9,30,1
10,0,4
10,1,4
10,2,4
10,3,4
10,4,4
10,5,4
10,6,4
10,7,4
10,8,1
10,9,1
10,10,4
10,11,4
10,12,4
10,13,4
10,14,4
10,15,1
10,16,1
10,17,1
10,18,1
10,19,1
10,20,1
10,21,2
10,22,2
10,23,2
10,24,2
10,25,2
10,26,2
10,27,3
10,28,3
10,29,1
10,30,1
11,0,4
11,1,4
11,2,4
11,3,4
11,4,4
11,5,4
11,6,4
11,7,4
11,8,1
11,9,1
11,10,4
11,11,4
11,12,4
11,13,4
11,14,4
11,15,1
11,16,1
11,17,1
11,18,1
11,19,1
11,20,2
11,21,2
11,22,2
11,23,2
11,24,2
11,25,3
11,26,3
11,27,3
11,28,3
11,29,3
11,30,3
12,0,4
12,1,4
12,2,4
12,3,4
12,4,4
12,5,4
12,6,4
12,7,4
12,8,1
12,9,1
12,10,4
12,11,4
12,12,4
12,13,4
12,14,4
12,15,4
12,16,1
12,17,1
12,18,1
12,19,1
12,20,2
12,21,2
12,22,2
12,23,2
12,24,3
12,25,3
12,26,3
12,27,3
12,28,3
12,29,3
